SysObs,SysObs,SysObs,SysObs,SysObs,SysObs,UserDefCon,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,FLR,LeafQ,LeafQ,LeafQ,LeafQ,Const,Const,Const,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrStats,FlrStats,FlrStats,FlrStats,FlrStats,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,MchEvent,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,MchStatus,ConStatus,ConStatus,ConStatus,ConStatus,ConStatus,ConStatus,ConStatus,ConStatus,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,hhmmss,averaging,plant id,WUE,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,,,s,mol m⁻² s⁻¹,mmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol µmol⁻¹,,,,,,,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol mol⁻¹,µmol mol⁻¹ min⁻¹,µmol mol⁻¹,,mmol mol⁻¹,mmol mol⁻¹ min⁻¹,mmol mol⁻¹,,,,,%,%,µmol/mol,mmol/mol,µmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,V,V,V,V,V,V,°C,V,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1710786201,0,20240318 11:23:21,11:23:21,15,j7.broare.1,43.96586738,1710786193,0.00133187,1.331869994,4.325264341,394.6668125,315.3983454,32.10150498,40.16951526,0.098377778,2.959046184,0.09659622,0.060530016,241.7321765,26.83573155,25.89665,3.353677987,59.71412584,1.987142183,3.327758977,1.366535804,-58.73546672,-20.89020441,-1.505843651,160.6006617,0,0,1,0,53992.97541,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-118-20240319-11_22_07,10265.5,200.4012308,268.4541319,0.253499176,0.5,1261.188976,4.325264341,159.8551828,0.004222416,9.254675465,217.7753325,-,0,217.7753325,0.188780106,1.342827808,0.980009425,-0.124986533,1.280664518,1.459246388,-0.459246388,1499.974375,1261.188976,0.840807014,0.161157537,6,0.5,0: Broadleaf,2,1710786193,394.6668125,399.5179375,19.5237375,18.2178125,404.924875,19.95704375,599.9733125,101.6638125,0.11701625,25.7657,999.9,25.89665,0,0,10002.6925,0,205.0224375,1499.974375,0.973008,0.0269924,0,200.558125,4.9992,3290.67875,12157.46875,41.851375,43.68325,42.687,42.9294375,43.011625,1454.624375,40.35,0,1710787134,0,200.4012308,-7.588923083,-139.1993163,3288.650769,15,1710786169,11:22:49,1710786169,1710786153,1,-1.354,0.008,-10.263,-0.465,395,18,0.5,0.14,-5.361069048,7.813240519,0.839899017,0,1.29857619,0.121753247,0.029171514,0,0,2,0/2,100,100,-10.262,-0.4339,-7.084726278,-0.007814304,-3.18E-07,6.48E-10,-0.414367593,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.8,1.02051,2.47437,1.59912,2.31201,1.60278,2.47925,35.0825,15.9182,18,611.766,443.61,23.0044,28.5093,29.9994,28.6615,28.6883,20.42,33.5528,95.136,23,400,18.2645,100.528,102.823
2,1710786242,41,20240318 11:24:02,11:24:02,15,j7.broare.1,45.52684661,1710786234,0.00118998,1.189980396,3.951756503,395.0830625,313.3461291,31.89333452,40.21277145,0.086800576,2.957301218,0.085409657,0.053504147,241.7392295,26.99529741,26.05163125,3.384581208,59.78592671,2.00401472,3.351984038,1.380566487,-52.47813548,-26.06945573,-1.882911604,161.3087267,0,0,1,0,53919.68065,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-119-20240319-11_22_48,10277.8,195.58048,263.8769755,0.258819457,0.5,1261.221976,3.951756503,163.2143934,0.003926158,9.432550983,214.7534814,-,0,214.7534814,0.186160593,1.390302068,0.980645995,-0.124388258,1.283023909,1.526595135,-0.526595135,1500.013125,1261.221976,0.840807293,0.161158076,6,0.5,0: Broadleaf,2,1710786234,395.0830625,399.5053125,19.689075,18.52243125,405.344375,20.11841875,599.9521875,101.66525,0.11783125,25.88811875,999.9,26.05163125,0,0,9992.65625,0,213.956125,1500.013125,0.97300025,0.02699985,0,195.6641875,4.9992,3219.51,12157.7375,42.034875,43.851375,42.812,43.2145625,43.2066875,1454.648125,40.365,0,39.5,0,195.58048,-4.087230763,-72.70461528,3217.6932,15,1710786169,11:22:49,1710786169,1710786153,1,-1.354,0.008,-10.263,-0.465,395,18,0.5,0.14,-4.408238571,0.061298961,0.063437339,1,1.165444286,0.050156883,0.012991282,1,2,2,2-Feb,100,100,-10.262,-0.4281,-7.084726278,-0.007814304,-3.18E-07,6.48E-10,-0.414367593,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.2,1.5,1.02905,2.46826,1.59912,2.31079,1.60278,2.51953,35.1286,15.9182,18,612.119,442.788,23.0036,28.4674,29.9997,28.6007,28.63,20.6057,32.715,94.0099,23,400,18.4808,100.546,102.841
3,1710786290,89,20240318 11:24:50,11:24:50,15,j7.broare.1,43.09316154,1710786282,0.001238722,1.238721704,3.831538575,395.3049333,317.3152576,32.29659412,40.23444408,0.088912914,2.958216053,0.08745453,0.054788119,241.7372938,27.0782728,26.17277333,3.408909799,59.49475031,2.005614679,3.371078404,1.403295121,-54.62762713,-30.09557021,-2.175400233,154.8386962,0,0,1,0,53929.18903,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-120-20240319-11_23_36,10265.1,192.4258077,260.7789062,0.262111302,0.5,1261.213557,3.831538575,165.2891635,0.003830865,9.556490324,212.6970283,-,0,212.6970283,0.184377942,1.421597938,0.981071714,-0.123792847,1.284620873,1.571357088,-0.571357088,1500.003333,1261.213557,0.84080717,0.161157838,6,0.5,0: Broadleaf,2,1710786282,395.3049333,399.6262667,19.70524,18.49089333,405.5679333,20.13418667,599.9830667,101.6640667,0.1167124,25.98406667,999.9,26.17277333,0,0,9997.959333,0,226.6238,1500.003333,0.973005933,0.026994107,0,192.4650667,4.9992,3171.974667,12157.69333,42.187,44,42.9412,43.4874,43.3998,1454.648667,40.35866667,0,46.29999995,0,192.4258077,-3.308205134,-43.26290602,3171.732308,15,1710786169,11:22:49,1710786169,1710786153,1,-1.354,0.008,-10.263,-0.465,395,18,0.5,0.14,-4.337958,0.622126917,0.095535255,0,1.2151935,-0.08206782,0.021910754,1,1,2,2-Jan,100,100,-10.262,-0.4291,-7.084726278,-0.007814304,-3.18E-07,6.48E-10,-0.414367593,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,2,2.3,1.03638,2.4707,1.59912,2.30957,1.60278,2.41577,35.1747,15.9007,18,612.064,441.326,23.0031,28.4359,29.9995,28.5383,28.5658,20.7501,33.2768,92.8837,23,400,18.6679,100.56,102.857
4,1710786546,345,20240318 11:29:06,11:29:06,15,j4.broare.1,54.55846078,1710786538,0.000589676,0.589675555,2.289942305,397.2865625,301.4976142,30.69016306,40.44074916,0.041972267,2.959580938,0.041644366,0.026056975,241.738142,26.6686319,25.9976375,3.373786757,60.48070047,1.970262985,3.257672232,1.403523772,-26.004692,-94.22634355,-6.782186406,114.72492,0,0,1,0,54073.89319,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-121-20240319-11_27_52,10276,179.46868,220.6970347,0.186809735,0.5,1261.217626,2.289942305,117.8038655,0.002608545,11.47370634,185.2553199,-,0,185.2553199,0.1605899,1.163272007,0.986196853,-0.069614391,1.305281909,1.200779589,-0.200779589,1500.008125,1261.217626,0.840807196,0.161157888,6,0.5,0: Broadleaf,2,1710786538,397.2865625,399.81075,19.3557,18.77744375,407.5588125,19.786975,600.0059375,101.6779375,0.114453625,25.4070875,999.9,25.9976375,0,0,10004.33625,0,192.947125,1500.008125,0.973001375,0.026998581,0,179.667125,4.9992,3019.95375,12157.7125,42.437,44.062,43.25,43.531,43.562,1454.648125,40.36,0,254.3,0,179.46868,-9.84000001,-149.9423079,3016.6288,15,1710786518,11:28:38,1710786516,1710786518,2,0.006,0.006,-10.285,-0.437,399,19,0.79,0.2,-2.659688095,2.731235844,0.295299879,0,0.586784667,-0.459384779,0.069024513,0,0,2,0/2,100,100,-10.274,-0.4331,-7.078350472,-0.007814304,-3.18E-07,6.48E-10,-0.408270151,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.5,0.5,1.05957,2.46094,1.59912,2.30713,1.60278,2.50122,35.1978,15.8745,18,607.454,435.522,22.9953,28.2153,29.9998,28.2798,28.2936,21.2051,38.2729,87.5867,23,400,18.7305,100.599,102.888
5,1710786597,396,20240318 11:29:57,11:29:57,15,j4.broare.1,66.5537327,1710786589,0.00043966,0.439659617,2.073295578,397.6365625,282.8952195,28.79660732,40.47641372,0.031152206,2.957952878,0.030971081,0.019373111,241.737743,26.62218414,25.915875,3.357498008,60.16955076,1.95014424,3.241081603,1.407353768,-19.38898911,-94.83032673,-6.823669027,120.6947581,0,0,1,0,54041.58469,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-122-20240319-11_28_43,10276.4,174.2448846,215.1701942,0.190199715,0.5,1261.215526,2.073295578,119.9414166,0.002436773,11.79410473,181.3453322,-,0,181.3453322,0.157200499,1.209918006,0.986846583,-0.068463785,1.308130834,1.259221947,-0.259221947,1500.005625,1261.215526,0.840807197,0.161157891,6,0.5,0: Broadleaf,2,1710786589,397.6365625,399.8846875,19.1580375,18.7268,407.9114375,19.5939125,599.99875,101.6781875,0.11429725,25.3212125,999.9,25.915875,0,0,9995.07875,0,196.1901875,1500.005625,0.973001688,0.026998244,0,174.280625,4.9992,2940.303125,12157.70625,42.4960625,44.027125,43.25,43.4293125,43.5659375,1454.645625,40.36,0,49,0,174.2448846,-2.798256414,-45.39042736,2939.654231,15,1710786518,11:28:38,1710786516,1710786518,2,0.006,0.006,-10.285,-0.437,399,19,0.79,0.2,-2.257116,0.298856842,0.054377593,0,0.43135835,0.060164707,0.019110354,1,1,2,2-Jan,100,100,-10.275,-0.4359,-7.078350472,-0.007814304,-3.18E-07,6.48E-10,-0.408270151,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.4,1.3,1.06201,2.47803,1.59912,2.30469,1.60278,2.32056,35.1978,15.8482,18,607.961,434.308,22.9974,28.1486,29.9997,28.2157,28.2274,21.2408,38.8387,85.3102,23,400,18.6662,100.601,102.889
6,1710786646,445,20240318 11:30:46,11:30:46,15,j4.broare.1,69.10611096,1710786638,0.000434378,0.43437761,2.123828665,397.6494,278.8465274,28.38352463,40.47635681,0.030732863,2.959098571,0.030556635,0.019113646,241.7369516,26.60902509,25.91357333,3.357040465,60.14638899,1.947764112,3.238372485,1.409276353,-19.1560526,-96.74274181,-6.958013112,118.8801441,0,0,1,0,54077.7688,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-123-20240319-11_29_33,10281.5,172.3816923,212.7070307,0.189581596,0.5,1261.211361,2.123828665,119.5512313,0.002476848,11.94226144,179.5925659,-,0,179.5925659,0.155681101,1.217756005,0.987131605,-0.067183259,1.309400523,1.26869578,-0.26869578,1500.000667,1261.211361,0.8408072,0.161157896,6,0.5,0: Broadleaf,2,1710786638,397.6494,399.946,19.1353,18.70922667,407.9242667,19.5717,599.9892,101.6756,0.1134554,25.30715333,999.9,25.91357333,0,0,10001.83,0,205.3968,1500.000667,0.9730024,0.026997533,0,172.3868667,4.9992,2911.753333,12157.66667,42.5,44,43.26653333,43.312,43.562,1454.640667,40.36,0,47.30000019,0,172.3816923,-1.312615372,-16.41743591,2911.568846,15,1710786518,11:28:38,1710786516,1710786518,2,0.006,0.006,-10.285,-0.437,399,19,0.79,0.2,-2.278575238,-0.257164675,0.050754429,0,0.425199333,0.080193039,0.016778904,1,1,2,2-Jan,100,100,-10.275,-0.4365,-7.078350472,-0.007814304,-3.18E-07,6.48E-10,-0.408270151,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,2.2,2.1,1.06323,2.46826,1.59912,2.30347,1.60278,2.53296,35.1747,15.8569,18,608.156,433.034,22.9989,28.0835,29.9998,28.1573,28.1714,21.2683,39.7184,82.9998,23,400,18.5904,100.608,102.894
7,1710786913,712,20240318 11:35:13,11:35:13,15,e4.broare.1,56.69880415,1710786905,0.001097777,1.09777717,4.283013835,395.2325333,295.2880456,30.05677013,40.22991646,0.075539756,2.957935223,0.074484177,0.046646221,241.738578,26.75324537,26.29006,3.432609488,59.77272815,1.972247739,3.299577919,1.460361748,-48.41197318,-106.4854246,-7.688398383,79.15278184,0,0,1,0,53986.5082,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-124-20240319-11_33_59,10236,171.958,239.8402338,0.283031053,0.5,1261.215737,4.283013835,178.4816088,0.004188826,10.47809922,198.5584895,-,0,198.5584895,0.172121848,1.644364477,0.98383866,-0.118448325,1.295414148,1.898734149,-0.898734149,1500.005333,1261.215737,0.840807502,0.161158479,6,0.5,0: Broadleaf,2,1710786905,395.2325333,399.9496,19.37604,18.29949333,405.3816,19.80407333,599.9776667,101.675,0.112968,25.62230667,999.9,26.29006,0,0,9995.292,0,312.9912667,1500.005333,0.972993467,0.027006547,0,172.0542,4.9992,3060.564,12157.67333,42.37913333,44.05786667,43.187,43.104,43.4496,1454.634,40.37533333,0,264.7,0,171.958,-13.50851283,-220.4000001,3059.538462,15,1710786880,11:34:40,1710786880,1710786874,3,0.106,0.003,-10.185,-0.46,400,18,0.65,0.12,-4.755925714,0.467523117,0.07319118,0,1.009184952,0.911189377,0.100512942,0,0,2,0/2,100,100,-10.149,-0.4283,-6.972255932,-0.007814304,-3.18E-07,6.48E-10,-0.405412821,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,0.6,0.7,1.06812,2.4707,1.59912,2.30103,1.60278,2.50244,35.2902,15.8044,18,607.296,427.728,23.0026,27.79,30.0002,27.8816,27.9018,21.3633,40.2244,71.9571,23,400,18.3387,100.65,102.936
8,1710786964,763,20240318 11:36:04,11:36:04,15,e4.broare.1,61.28890588,1710786956,0.001034907,1.034906973,4.24512424,395.2714667,287.8621953,29.30214763,40.23558168,0.069264154,2.95998087,0.068376171,0.04281394,241.7393394,26.96168685,26.53506,3.482580395,59.42238274,1.983268425,3.337578087,1.49931197,-45.63939749,-114.8401275,-8.304118296,72.9556962,0,0,1,0,54011.7703,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-125-20240319-11_34_50,10237.1,163.22272,228.221012,0.284804153,0.5,1261.221181,4.24512424,179.6005151,0.004158766,11.06247389,190.527918,-,0,190.527918,0.16516049,1.724408506,0.985289823,-0.11116235,1.301403518,2.01288131,-1.01288131,1500.012,1261.221181,0.840807394,0.16115827,6,0.5,0: Broadleaf,2,1710786956,395.2714667,399.9254,19.48348667,18.4688,405.4209333,19.90898667,600.0335333,101.679,0.1132746,25.81541333,999.9,26.53506,0,0,10006.50067,0,308.3219333,1500.012,0.9729946,0.02700546,0,163.3365333,4.9992,2921.248,12157.72,42.479,44.1954,43.25,43.2038,43.562,1454.642,40.37,0,49.10000014,0,163.22272,-6.204846148,-133.0438462,2919.9944,15,1710786880,11:34:40,1710786880,1710786874,3,0.106,0.003,-10.185,-0.46,400,18,0.65,0.12,-4.6843865,0.615964962,0.069315456,0,1.0302176,-0.332095128,0.036180138,0,0,2,0/2,100,100,-10.15,-0.4243,-6.972255932,-0.007814304,-3.18E-07,6.48E-10,-0.405412821,-0.027428369,0.001386821,-3.01E-06,5,2011,2,27,1.4,1.5,1.06812,2.4646,1.59912,2.30103,1.60156,2.52197,35.2902,15.7519,18,607.96,427.589,23.0037,27.8113,30.0002,27.8746,27.897,21.3878,38.1421,69.2906,23,400,18.6551,100.649,102.935
