Recorder,Date,Month,Plant_ID,Quad1,Height_cm,Canopy_x_cm,Canopy_y_cm,Notes,,Quad2,,,,,,,,,,,,,,,,
BW,2/2/24,February,A1.AIRCAR.1,CR,1.75,1,0.25,,,TR,,,,,,,,,,,,,,,,
BW,2/2/24,February,B4.AIRCAR.1,BL,1,1,0.25,,,BL,,,,,,,,,,,,,,,,
BW,2/2/24,February,C3.AIRCAR.1,C,1.5,0.5,0.25,,,TR,,,,,,,,,,,,,,,,
BW,2/2/24,February,C8.AIRCAR.1,C,1,0.75,0.25,,,BL,,,,,,,,,,,,,,,,
BW,2/2/24,February,D1.AIRCAR.1,CB,1.75,0.5,0.25,,,C,,,,,,,,,,,,,,,,
BW,2/2/24,February,E1.AIRCAR.1,C,1.25,0.75,0.25,,,BR,,,,,,,,,,,,,,,,
BW,2/2/24,February,E3.AIRCAR.1,TL,3,1.5,1,,,TC,,,,,,,,,,,,,,,,
BW,2/2/24,February,F1.AIRCAR.1,BL,1,1,0.5,,,C,,,,,,,,,,,,,,,,
BW,2/2/24,February,G6.AIRCAR.1,BL,1.5,1,0.5,,,BR,,,,,,,,,,,,,,,,
BW,2/2/24,February,G7.AIRCAR.1,C,1.25,0.5,0.5,,,BL,,,,,,,,,,,,,,,,
BW,2/2/24,February,H2.AIRCAR.1,TR,1.75,0.75,1,,,TC,,,,,,,,,,,,,,,,
BW,2/2/24,February,H6.AIRCAR.1,TL,0.75,0.75,0.25,,,TL,,,,,,,,,,,,,,,,
BW,2/2/24,February,I5.AIRCAR.1,CL,1.25,0.75,0.25,lizard or gopher hole in plot,,BL,,,,,,,,,,,,,,,,
BW,2/2/24,February,I6.AIRCAR.1,C,0.75,0.75,0.25,,,CL,,,,,,,,,,,,,,,,
BW,2/2/24,February,I8.AIRCAR.1,C,1,0.5,0.25,"          ""                           """,,CL,,,,,,,,,,,,,,,,
BW,2/2/24,February,J2.AIRCAR.1,C,1.75,0.75,0.5,,,TR,,,,,,,,,,,,,,,,
JBL,2/2/24,February,A2.AMSINK.1,C,2.5,5,3,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,A4.AMSINK.1,BR,4,7.5,5.5,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,B8.AMSINK.1,C,4,4.75,4.5,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,C6.AMSINK.1,TR,2.5,8,7.5,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,C7.AMSINK.1,CL,3.5,6.25,5.5,,,CR,,,,,,,,,,,,,,,,
JBL,2/2/24,February,D3.AMSINK.1,TR,4.5,7,2.5,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,D5.AMSINK.1,TR,3.5,8.75,3.25,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,E2.AMSINK.1,BR,4.5,6,4,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,E4.AMSINK.1,CL,1.75,6,5.75,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,F2.AMSINK.1,CT,2,3.25,2.75,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,F7.AMSINK.1,TR,1.75,5.25,3,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,G4.AMSINK.1,CL,2,4.25,2.25,,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,H3.AMSINK.1,CL,2,4.25,2.5,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,I3.AMSINK.1,BL,2.5,7,5.5,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,J4.AMSINK.1,BR,3.25,6.25,4.5,oo,,,,,,,,,,,,,,,,,,
JBL,2/2/24,February,J7.AMSINK.1,CL,4.5,7.5,7.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,A1.AVEBAR.1,CB,5,14,10,,,TL,,,,,,,,,,,,,,,,
BW,2/2/24,February,B4.AVEBAR.1,BL,9.25,9.74,6.5,,,TC,,,,,,,,,,,,,,,,
BW,2/2/24,February,C3.AVEBAR.1,TL,6.25,5.5,7.75,,,TR,,,,,,,,,,,,,,,,
BW,2/2/24,February,C8.AVEBAR.1,TR,3,10.75,9,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,D1.AVEBAR.1,BL/BC,3,7,7.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E1.AVEBAR.1,CR,4.5,8.25,3.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E3.AVEBAR.1,CR,5.75,8.5,3,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F1.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G6.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G7.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H2.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H6.AVEBAR.1,TL,4.75,5,0.75,,,TR,,,,,,,,,,,,,,,,
BW,2/2/24,February,I5.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
