Date,Plant_ID,Plant_ID_lf,date,Plant_ID_lic,Reason
5/18/24,B3.CORFIL.1-A7,B3.CORFIL.1-A7,NA,NA,changed licor record to 0.1
5/5/24,H5.AVEBAR.1,H5.AVEBAR.1,NA,NA,added E8 to file name
5/5/24,I4.AVEBAR.1,I4.AVEBAR.1,NA,NA,added I1 to file name
5/3/24,F4.BROHOR.1,F4.BROHOR.1,NA,NA,changed licor record to 0.1
4/25/24,B2.BR0MAD.2,B2.BR0MAD.2,NA,NA,changed file name to have an O
5/11/24,F8.MADGRA.2,F8.MADGRA.2,NA,NA,0.1 is correct. .2 does not have a licor
NA,D6.PLAERE.1,D6.PLAERE.1,NA,NA,D6 shouldn't be PLAERE. This could be G5 and misread. Changed filename to G5
5/13/24,G3.STIPUL.1,G3.STIPUL.1,NA,NA,there is a .1 and .2 leaf. Original licor record is .2
NA,G5.PLAERE.2,NA,2024-04-25T13:41:19Z,G5.PLAERE.2,used misread D6PLAERE
NA,G5.PLAERE.2,NA,2024-04-25T13:42:15Z,G5.PLAERE.2,used misread D6PLAERE
NA,G5.PLAERE.2,NA,2024-04-25T13:43:08Z,G5.PLAERE.2,used misread D6PLAERE
NA,B2.BROMAD.2,NA,2024-04-26T12:47:46Z,B2.BROMAD.2,corrected with replacing 0 with O
NA,F4.BROHOR.2,NA,2024-04-28T14:26:34Z,F4.BROHOR.2,"to f4 records, changed second to 0.1"
NA,F5.MICCAL.2,NA,2024-04-28T14:32:36Z,F5.MICCAL.2,"no leaf, use average"
NA,F5.MICCAL.2,NA,2024-04-28T14:34:43Z,F5.MICCAL.2,"no leaf, use average"
NA,F5.MICCAL.2,NA,2024-04-28T14:35:40Z,F5.MICCAL.2,"no leaf, use average"
NA,D4.MICCAL.2,NA,2024-04-30T12:51:03Z,D4.MICCAL.2,"no leaf, use average"
NA,D4.MICCAL.2,NA,2024-04-30T12:51:55Z,D4.MICCAL.2,"no leaf, use average"
NA,23.A7.ESCCAL.1,NA,2024-05-01T10:05:42Z,23.A7.ESCCAL.1,"no leaf, use average"
NA,23.I8.ESCCAL.1,NA,2024-05-01T11:24:21Z,23.I8.ESCCAL.1,"no leaf, use average"
NA,F4.BROHOR.2,NA,2024-05-02T09:22:46Z,F4.BROHOR.2,changed to 0.1
NA,J6.BROHOR.1,NA,2024-05-03T12:48:59Z,J6.BROHOR.1,"no leaf, use average"
NA,B4.GALPAR.2,NA,2024-05-05T11:03:49Z,B4.GALPAR.2,"no leaf, use average"
NA,B4.GALPAR.2,NA,2024-05-05T11:04:13Z,B4.GALPAR.2,"no leaf, use average"
NA,B4.GALPAR.2,NA,2024-05-05T11:05:11Z,B4.GALPAR.2,"no leaf, use average"
NA,H5.AVEBAR.1-E8,NA,2024-05-05T14:31:17Z,H5.AVEBAR.1-E8,fixed leaf name
NA,I5.AVEBAR.1-C8,NA,2024-05-04T11:55:20Z,I5.AVEBAR.1-C8,"no leaf, use average"
NA,H3.AVEBAR.1,NA,2024-05-04T12:32:43Z,H3.AVEBAR.1,"no leaf, use average"
NA,I4.AVEBAR.1-I1,NA,2024-05-04T13:14:41Z,I4.AVEBAR.1-I1,fixed leaf name
NA,J6.AVEBAR.1,NA,2024-05-04T14:30:02Z,J6.AVEBAR.1,"no leaf, use average"
NA,A4.BRODIA.2,NA,2024-05-06T10:12:14Z,A4.BRODIA.2,"no leaf, use average"
NA,E1.BRODIA.2,NA,2024-05-06T14:30:46Z,E1.BRODIA.2,"no leaf, use average"
NA,C1.CLAPUR.2,NA,2024-05-07T11:26:46Z,C1.CLAPUR.2,"no leaf, use average"
NA,D8.CLAPUR.2,NA,2024-05-07T13:29:51Z,D8.CLAPUR.2,"no leaf, use average"
NA,A1.HYPGLA.2,NA,2024-05-09T11:56:16Z,A1.HYPGLA.2,missed 1 record that needed to be changed to 0.1
NA,E8.MADGRA.2,NA,2024-05-10T10:32:52Z,E8.MADGRA.2,"no leaf, use average"
NA,23.G3.STIPUL.1,NA,2024-05-13T10:30:48Z,23.G3.STIPUL.1,"no leaf, use average"
NA,23.D7.STIPUL.1,NA,2024-05-13T11:16:30Z,23.D7.STIPUL.1,accidentally listed as no licor
NA,23.E6.STIPUL.1,NA,2024-05-13T12:08:50Z,23.E6.STIPUL.1,"no leaf, use average"
NA,B3.CORFIL.2-A7,NA,2024-05-18T10:08:17Z,B3.CORFIL.2-A7,changed licor record to 0.1
NA,23.E3.DANCAL.1,NA,2024-05-18T11:52:50Z,23.E3.DANCAL.1,"no leaf, use average"
NA,23.J2.DANCAL.1,NA,2024-05-18T11:58:09Z,23.J2.DANCAL.1,"no leaf, use average"
NA,23.E3.DANCAL.2,NA,2024-05-18T12:08:31Z,23.E3.DANCAL.2,"no leaf, use average"
NA,23.E3.DANCAL.3,NA,2024-05-18T12:13:38Z,23.E3.DANCAL.3,"no leaf, use average"
NA,23.E1.DANCAL.2,NA,2024-05-18T12:20:03Z,23.E1.DANCAL.2,"no leaf, use average"
NA,23.H6.DANCAL.1,NA,2024-05-18T12:31:20Z,23.H6.DANCAL.1,"no leaf, use average"
NA,23.G6.DANCAL.1,NA,2024-05-18T12:36:21Z,23.G6.DANCAL.1,"no leaf, use average"
