sample,sample_short,plot_replace,no_licor
A5LUPBIC1_A8_20240424,A5LUPBIC1_20240424,A8,no licor
D3BROMAD2_20240426,D3BROMAD2_20240426,,no licor
D5BROMAD1_20240426,D5BROMAD1_20240426,,no licor
E2BROMAD2_20240426,E2BROMAD2_20240426,,no licor
A2EROCIC1_20240401,A2EROCIC1_20240401,,no licor
A2EROCIC2_20240401,A2EROCIC2_20240401,,no licor
B6EROCIC1_20240401,B6EROCIC1_20240401,,no licor
D7STIPUL1_20240513,D7STIPUL1_20240513,,no licor
A6AVEFAT1_20240503,A6AVEFAT1_20240503,,no licor
E5ESCCAL1_20240502,E5ESCCAL1_20240502,,no licor
23J8ESCCAL1_20240502,J8ESCCAL1_20240502,,no licor
23I6STIPUL1_20240513,I6STIPUL1_20240513,,no licor
23D7STIPUL1_20240513,D7STIPUL1_20240513,,no licor
B3AVEFAT1_A6_20240503,B3AVEFAT1_20240503,A6,no licor
C2STIPUL2_J8_20240513,C2STIPUL2_20240513,J8,no licor
E2AMSMEN1_20240328,E2AMSMEN1_20240328,,no licor
I3AMSMEN1_20240328,I3AMSMEN1_20240328,,no licor
A4AVEBAR2_20240506,A4AVEBAR2_20240506,,no licor
B1BRODIA2_20240506,B1BRODIA2_20240506,,no licor
F6BRODIA1_20240506,F6BRODIA1_20240506,,no licor
J2BRODIA2_20240506,J2BRODIA2_20240506,,no licor
D4BROMAD2_20240426,D4BROMAD2_20240426,,no licor
D7BROMAD2_20240426,D7BROMAD2_20240426,,no licor
D8BROMAD1_20240426,D8BROMAD1_20240426,,no licor
E4BROMAD2_20240426,E4BROMAD2_20240426,,no licor
E5BROMAD1_20240426,E5BROMAD1_20240426,,no licor
E6BROMAD2_20240426,E6BROMAD2_20240426,,no licor
E7BROMAD2_20240426,E7BROMAD2_20240426,,no licor
H1BROMAD2_20240426,H1BROMAD2_20240426,,no licor
H4BROMAD2_20240426,H4BROMAD2_20240426,,no licor
I2BROMAD1_20240426,I2BROMAD1_20240426,,no licor
I3BROMAD2_20240426,I3BROMAD2_20240426,,no licor
I7BROMAD1_20240426,I7BROMAD1_20240426,,no licor
J3BROMAD2_20240426,J3BROMAD2_20240426,,no licor
J4BROMAD2_20240426,J4BROMAD2_20240426,,no licor
J5BROMAD2_20240426,J5BROMAD2_20240426,,no licor
J6BROMAD1_20240426,J6BROMAD1_20240426,,no licor
J7BROMAD2_20240426,J7BROMAD2_20240426,,no licor
J8BROMAD2_20240426,J8BROMAD2_20240426,,no licor
E8CLAPUR2_20240507,E8CLAPUR2_20240507,,no licor
G7DANCAL1_20240531,G7DANCAL1_20240531,,no licor
C6EROCIC1_20240401,C6EROCIC1_20240401,,no licor
C2ESCCAL1_20240502,C2ESCCAL1_20240502,,no licor
J8ESCCAL1_20240502,J8ESCCAL1_20240502,,no licor
E8GERDIS1_20240423,E8GERDIS1_20240423,,no licor
J2HYPGLA1_20240509,J2HYPGLA1_20240509,,no licor
A1MADGRA1_20240513,A1MADGRA1_20240513,,no licor
A7MICCAL2_20240429,A7MICCAL2_20240429,,no licor
C2MICCAL3_20240429,C2MICCAL3_20240429,,no licor
A5PLAERE2_20240424,A5PLAERE2_20240424,,no licor
B4PLANOT1_20240429,B4PLANOT1_20240429,,no licor
J8STIPUL1_20240513,J8STIPUL1_20240513,,no licor
H3AMSMEN1_20240328,H3AMSMEN1_20240328,,no licor  
