,Precip_H_mm,,Shelter_J,Shelter_I,Shelter_H,Shelter_G,Shelter_F,,
z6B02089,Port 1,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 7
Records: 24030,ECRN-50,ECRN-50,TEROS 10,TEROS 10,TEROS 10,TEROS 10,TEROS 10,Battery,Battery
Timestamp, mm Precipitation, mm/h Max Precip Rate, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content,% Battery Percent, mV Battery Voltage
11/17/22 10:00,0,0.0,0.185,0.192,0.238,0.282,0.266,100,9474
11/17/22 11:00,0,0.0,0.186,0.194,0.240,0.291,0.268,100,9457
11/17/22 12:00,0,0.0,0.207,0.211,0.241,0.292,0.268,100,9443
11/17/22 13:00,0,0.0,0.212,0.211,0.242,0.292,0.269,100,9435
11/17/22 14:00,0,0.0,0.212,0.212,0.242,0.293,0.269,100,9421
11/17/22 15:00,0,0.0,0.213,0.212,0.243,0.293,0.270,100,9420
11/17/22 16:00,0,0.0,0.214,0.212,0.243,0.294,0.271,100,9406
11/17/22 17:00,0,0.0,0.215,0.213,0.244,0.294,0.272,100,9398
11/17/22 18:00,0,0.0,0.215,0.214,0.245,0.295,0.273,100,9390
11/17/22 19:00,0,0.0,0.216,0.214,0.245,0.295,0.273,100,9389
11/17/22 20:00,0,0.0,0.216,0.215,0.245,0.296,0.274,100,9390
11/17/22 21:00,0,0.0,0.216,0.215,0.245,0.296,0.274,100,9393
11/17/22 22:00,0,0.0,0.215,0.215,0.245,0.296,0.274,100,9397
11/17/22 23:00,0,0.0,0.215,0.214,0.244,0.295,0.273,100,9397
11/18/22 0:00,0,0.0,0.215,0.214,0.244,0.295,0.273,100,9396
11/18/22 1:00,0,0.0,0.214,0.214,0.243,0.295,0.273,100,9399
11/18/22 2:00,0,0.0,0.214,0.214,0.243,0.295,0.273,100,9399
11/18/22 3:00,0,0.0,0.214,0.213,0.243,0.294,0.272,100,9402
11/18/22 4:00,0,0.0,0.213,0.213,0.242,0.294,0.272,100,9400
11/18/22 5:00,0,0.0,0.213,0.213,0.242,0.294,0.272,100,9402
11/18/22 6:00,0,0.0,0.213,0.212,0.242,0.294,0.271,100,9397
11/18/22 7:00,0,0.0,0.213,0.212,0.242,0.293,0.271,100,9400
11/18/22 8:00,0,0.0,0.212,0.212,0.241,0.293,0.271,100,9396
11/18/22 9:00,0,0.0,0.212,0.211,0.241,0.293,0.271,100,9405
11/18/22 10:00,0,0.0,0.212,0.211,0.241,0.293,0.270,100,9406
11/18/22 11:00,0,0.0,0.212,0.211,0.241,0.292,0.270,100,9408
11/18/22 12:00,0,0.0,0.212,0.211,0.241,0.292,0.270,100,9398
11/18/22 13:00,0,0.0,0.212,0.211,0.241,0.293,0.270,100,9390
11/18/22 14:00,0,0.0,0.212,0.211,0.241,0.293,0.270,100,9383
11/18/22 15:00,0,0.0,0.213,0.211,0.242,0.293,0.271,100,9380
11/18/22 16:00,0,0.0,0.214,0.212,0.242,0.294,0.271,100,9377
11/18/22 17:00,0,0.0,0.214,0.213,0.243,0.294,0.272,100,9369
11/18/22 18:00,0,0.0,0.215,0.213,0.243,0.295,0.272,100,9368
11/18/22 19:00,0,0.0,0.215,0.213,0.244,0.295,0.273,100,9367
11/18/22 20:00,0,0.0,0.215,0.214,0.244,0.295,0.273,100,9367
11/18/22 21:00,0,0.0,0.215,0.214,0.244,0.295,0.273,100,9367
11/18/22 22:00,0,0.0,0.215,0.214,0.243,0.295,0.273,100,9369
11/18/22 23:00,0,0.0,0.215,0.214,0.243,0.295,0.273,100,9367
11/19/22 0:00,0,0.0,0.215,0.214,0.243,0.295,0.273,100,9369
11/19/22 1:00,0,0.0,0.215,0.214,0.243,0.295,0.272,100,9363
11/19/22 2:00,0,0.0,0.215,0.214,0.242,0.294,0.272,100,9365
11/19/22 3:00,0,0.0,0.214,0.213,0.242,0.294,0.272,100,9364
11/19/22 4:00,0,0.0,0.214,0.213,0.242,0.294,0.272,100,9364
11/19/22 5:00,0,0.0,0.214,0.213,0.242,0.294,0.272,100,9364
11/19/22 6:00,0,0.0,0.214,0.213,0.242,0.294,0.271,100,9364
11/19/22 7:00,0,0.0,0.214,0.213,0.241,0.294,0.271,100,9361
11/19/22 8:00,0,0.0,0.214,0.212,0.241,0.294,0.271,100,9361
11/19/22 9:00,0,0.0,0.213,0.212,0.241,0.293,0.271,100,9364
11/19/22 10:00,0,0.0,0.213,0.212,0.241,0.293,0.270,100,9366
11/19/22 11:00,0,0.0,0.213,0.212,0.241,0.293,0.270,100,9364
11/19/22 12:00,0,0.0,0.213,0.212,0.241,0.293,0.270,100,9364
11/19/22 13:00,0,0.0,0.213,0.212,0.241,0.293,0.270,100,9358
11/19/22 14:00,0,0.0,0.214,0.212,0.241,0.293,0.270,100,9351
11/19/22 15:00,0,0.0,0.214,0.212,0.242,0.294,0.271,100,9343
11/19/22 16:00,0,0.0,0.215,0.213,0.242,0.294,0.271,100,9340
11/19/22 17:00,0,0.0,0.216,0.213,0.243,0.295,0.272,100,9342
11/19/22 18:00,0,0.0,0.217,0.214,0.244,0.295,0.273,100,9332
11/19/22 19:00,0,0.0,0.217,0.215,0.244,0.296,0.273,100,9327
11/19/22 20:00,0,0.0,0.217,0.215,0.244,0.296,0.273,100,9327
11/19/22 21:00,0,0.0,0.217,0.215,0.243,0.296,0.273,100,9325
