,Precip_C_mm,,Shelter_E,Shelter_D,Shelter_C,Shelter_B,Shelter_A,,
z6B02090,Port 1,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,Port 7,Port 7
Records: 23161,ECRN-50,ECRN-50,TEROS 10,TEROS 10,TEROS 10,TEROS 10,TEROS 10,Battery,Battery
Timestamp, mm Precipitation, mm/h Max Precip Rate, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content,% Battery Percent, mV Battery Voltage
11/17/22 10:00,0,0.0,0.235,0.259,0.158,0.193,0.180,100,9560
11/17/22 11:00,0,0.0,0.235,0.260,0.159,0.204,0.185,100,9558
11/17/22 12:00,0,0.0,0.237,0.267,0.174,0.205,0.186,100,9554
11/17/22 13:00,0,0.0,0.244,0.274,0.174,0.205,0.186,100,9560
11/17/22 14:00,0,0.0,0.244,0.274,0.174,0.205,0.187,100,9557
11/17/22 15:00,0,0.0,0.245,0.274,0.174,0.206,0.188,100,9553
11/17/22 16:00,0,0.0,0.245,0.275,0.174,0.207,0.188,100,9549
11/17/22 17:00,0,0.0,0.246,0.276,0.175,0.207,0.189,100,9547
11/17/22 18:00,0,0.0,0.246,0.277,0.175,0.208,0.190,100,9520
11/17/22 19:00,0,0.0,0.246,0.277,0.175,0.209,0.191,100,9495
11/17/22 20:00,0,0.0,0.246,0.278,0.176,0.209,0.191,100,9496
11/17/22 21:00,0,0.0,0.246,0.278,0.175,0.209,0.191,100,9493
11/17/22 22:00,0,0.0,0.246,0.277,0.175,0.209,0.191,100,9497
11/17/22 23:00,0,0.0,0.246,0.277,0.175,0.209,0.191,100,9494
11/18/22 0:00,0,0.0,0.245,0.277,0.174,0.209,0.191,100,9495
11/18/22 1:00,0,0.0,0.245,0.276,0.174,0.209,0.191,100,9497
11/18/22 2:00,0,0.0,0.245,0.276,0.174,0.209,0.191,100,9494
11/18/22 3:00,0,0.0,0.245,0.275,0.173,0.209,0.191,100,9496
11/18/22 4:00,0,0.0,0.244,0.275,0.173,0.209,0.191,100,9495
11/18/22 5:00,0,0.0,0.244,0.275,0.172,0.208,0.190,100,9495
11/18/22 6:00,0,0.0,0.244,0.274,0.172,0.208,0.190,100,9496
11/18/22 7:00,0,0.0,0.243,0.274,0.172,0.208,0.190,100,9494
11/18/22 8:00,0,0.0,0.243,0.274,0.172,0.208,0.190,100,9488
11/18/22 9:00,0,0.0,0.243,0.274,0.171,0.208,0.190,100,9503
11/18/22 10:00,0,0.0,0.243,0.273,0.171,0.208,0.190,100,9519
11/18/22 11:00,0,0.0,0.242,0.273,0.170,0.207,0.191,100,9521
11/18/22 12:00,0,0.0,0.242,0.273,0.170,0.207,0.191,100,9525
11/18/22 13:00,0,0.0,0.242,0.273,0.170,0.207,0.191,100,9526
11/18/22 14:00,0,0.0,0.242,0.273,0.171,0.207,0.191,100,9522
11/18/22 15:00,0,0.0,0.243,0.274,0.171,0.208,0.192,100,9521
11/18/22 16:00,0,0.0,0.243,0.274,0.172,0.208,0.192,100,9513
11/18/22 17:00,0,0.0,0.244,0.275,0.172,0.209,0.193,100,9509
11/18/22 18:00,0,0.0,0.244,0.276,0.173,0.209,0.193,100,9495
11/18/22 19:00,0,0.0,0.244,0.276,0.173,0.210,0.194,100,9484
11/18/22 20:00,0,0.0,0.244,0.276,0.174,0.210,0.194,100,9482
11/18/22 21:00,0,0.0,0.244,0.276,0.174,0.210,0.194,100,9481
11/18/22 22:00,0,0.0,0.244,0.276,0.173,0.210,0.194,100,9476
11/18/22 23:00,0,0.0,0.244,0.276,0.173,0.210,0.194,100,9476
11/19/22 0:00,0,0.0,0.244,0.276,0.173,0.210,0.194,100,9476
11/19/22 1:00,0,0.0,0.244,0.276,0.173,0.210,0.194,100,9474
11/19/22 2:00,0,0.0,0.243,0.275,0.173,0.210,0.194,100,9474
11/19/22 3:00,0,0.0,0.243,0.275,0.173,0.210,0.194,100,9475
11/19/22 4:00,0,0.0,0.243,0.275,0.172,0.210,0.193,100,9471
11/19/22 5:00,0,0.0,0.243,0.275,0.172,0.209,0.193,100,9470
11/19/22 6:00,0,0.0,0.243,0.275,0.172,0.209,0.193,100,9468
11/19/22 7:00,0,0.0,0.243,0.274,0.172,0.209,0.193,100,9468
11/19/22 8:00,0,0.0,0.243,0.274,0.172,0.209,0.193,100,9465
11/19/22 9:00,0,0.0,0.242,0.274,0.171,0.209,0.193,100,9474
11/19/22 10:00,0,0.0,0.242,0.274,0.171,0.209,0.193,100,9482
11/19/22 11:00,0,0.0,0.242,0.273,0.171,0.209,0.192,100,9481
11/19/22 12:00,0,0.0,0.242,0.273,0.171,0.208,0.192,100,9486
11/19/22 13:00,0,0.0,0.242,0.273,0.171,0.208,0.193,100,9489
11/19/22 14:00,0,0.0,0.242,0.274,0.171,0.209,0.193,100,9486
11/19/22 15:00,0,0.0,0.242,0.274,0.172,0.209,0.193,100,9487
11/19/22 16:00,0,0.0,0.243,0.275,0.172,0.209,0.194,100,9484
11/19/22 17:00,0,0.0,0.243,0.275,0.173,0.210,0.194,100,9478
11/19/22 18:00,0,0.0,0.244,0.276,0.174,0.210,0.195,100,9453
11/19/22 19:00,0,0.0,0.244,0.277,0.174,0.211,0.195,100,9436
11/19/22 20:00,0,0.0,0.244,0.277,0.174,0.211,0.196,100,9436
11/19/22 21:00,0,0.0,0.244,0.277,0.174,0.211,0.196,100,9439
11/19/22 22:00,0,0.0,0.244,0.277,0.174,0.211,0.196,100,9440
11/19/22 23:00,0,0.0,0.243,0.276,0.174,0.211,0.195,100,9440
11/20/22 0:00,0,0.0,0.243,0.276,0.173,0.211,0.195,100,9438
11/20/22 1:00,0,0.0,0.243,0.275,0.173,0.211,0.195,100,9438
11/20/22 2:00,0,0.0,0.243,0.275,0.173,0.210,0.195,100,9441
11/20/22 3:00,0,0.0,0.242,0.275,0.172,0.210,0.194,100,9438
11/20/22 4:00,0,0.0,0.242,0.274,0.172,0.210,0.194,100,9437
11/20/22 5:00,0,0.0,0.242,0.274,0.172,0.210,0.194,100,9438
11/20/22 6:00,0,0.0,0.242,0.274,0.171,0.209,0.194,100,9436
11/20/22 7:00,0,0.0,0.241,0.273,0.171,0.209,0.193,100,9443
11/20/22 8:00,0,0.0,0.241,0.273,0.171,0.209,0.193,100,9444
11/20/22 9:00,0,0.0,0.241,0.272,0.170,0.209,0.193,100,9456
11/20/22 10:00,0,0.0,0.240,0.272,0.170,0.208,0.192,100,9462
11/20/22 11:00,0,0.0,0.240,0.271,0.170,0.208,0.192,100,9463
11/20/22 12:00,0,0.0,0.240,0.271,0.170,0.208,0.192,100,9466
11/20/22 13:00,0,0.0,0.240,0.271,0.170,0.208,0.192,100,9469
11/20/22 14:00,0,0.0,0.240,0.272,0.170,0.208,0.192,100,9467
11/20/22 15:00,0,0.0,0.241,0.272,0.171,0.208,0.193,100,9465
11/20/22 16:00,0,0.0,0.241,0.273,0.171,0.209,0.194,100,9462
11/20/22 17:00,0,0.0,0.242,0.274,0.172,0.209,0.194,100,9454
11/20/22 18:00,0,0.0,0.242,0.275,0.173,0.210,0.195,100,9433
11/20/22 19:00,0,0.0,0.243,0.275,0.173,0.210,0.195,100,9415
11/20/22 20:00,0,0.0,0.243,0.276,0.174,0.211,0.196,100,9413
11/20/22 21:00,0,0.0,0.243,0.276,0.174,0.211,0.196,100,9414
11/20/22 22:00,0,0.0,0.242,0.275,0.174,0.211,0.196,100,9416
11/20/22 23:00,0,0.0,0.242,0.275,0.173,0.211,0.195,100,9415
11/21/22 0:00,0,0.0,0.242,0.275,0.173,0.211,0.195,100,9415
11/21/22 1:00,0,0.0,0.242,0.274,0.173,0.210,0.195,100,9416
11/21/22 2:00,0,0.0,0.241,0.274,0.172,0.210,0.195,100,9420
11/21/22 3:00,0,0.0,0.241,0.274,0.172,0.210,0.194,100,9417
11/21/22 4:00,0,0.0,0.241,0.273,0.172,0.210,0.194,100,9414
11/21/22 5:00,0,0.0,0.241,0.273,0.171,0.209,0.194,100,9413
11/21/22 6:00,0,0.0,0.240,0.272,0.171,0.209,0.194,100,9412
11/21/22 7:00,0,0.0,0.240,0.272,0.171,0.209,0.193,100,9415
11/21/22 8:00,0,0.0,0.240,0.272,0.170,0.209,0.193,100,9420
11/21/22 9:00,0,0.0,0.240,0.271,0.170,0.208,0.193,100,9424
11/21/22 10:00,0,0.0,0.239,0.271,0.170,0.208,0.193,100,9439
11/21/22 11:00,0,0.0,0.239,0.270,0.169,0.208,0.192,100,9443
11/21/22 12:00,0,0.0,0.239,0.270,0.169,0.208,0.192,100,9444
11/21/22 13:00,0,0.0,0.239,0.270,0.169,0.208,0.192,100,9447
11/21/22 14:00,0,0.0,0.239,0.271,0.170,0.208,0.193,100,9442
11/21/22 15:00,0,0.0,0.239,0.271,0.170,0.208,0.193,100,9440
11/21/22 16:00,0,0.0,0.240,0.272,0.171,0.209,0.194,100,9440
11/21/22 17:00,0,0.0,0.240,0.273,0.172,0.209,0.194,100,9433
11/21/22 18:00,0,0.0,0.241,0.273,0.172,0.210,0.195,100,9407
11/21/22 19:00,0,0.0,0.241,0.274,0.173,0.210,0.195,100,9392
11/21/22 20:00,0,0.0,0.241,0.274,0.173,0.211,0.196,100,9389
11/21/22 21:00,0,0.0,0.241,0.274,0.173,0.211,0.196,100,9393
11/21/22 22:00,0,0.0,0.241,0.274,0.173,0.211,0.196,100,9394
11/21/22 23:00,0,0.0,0.241,0.274,0.173,0.210,0.195,100,9396
11/22/22 0:00,0,0.0,0.241,0.274,0.173,0.210,0.195,100,9394
11/22/22 1:00,0,0.0,0.241,0.273,0.172,0.210,0.195,100,9392
11/22/22 2:00,0,0.0,0.240,0.273,0.172,0.210,0.195,100,9395
11/22/22 3:00,0,0.0,0.240,0.272,0.172,0.210,0.195,100,9391
11/22/22 4:00,0,0.0,0.240,0.272,0.172,0.210,0.194,100,9389
11/22/22 5:00,0,0.0,0.240,0.272,0.171,0.209,0.194,100,9391
11/22/22 6:00,0,0.0,0.239,0.271,0.171,0.209,0.194,100,9390
11/22/22 7:00,0,0.0,0.239,0.271,0.171,0.209,0.194,100,9391
11/22/22 8:00,0,0.0,0.239,0.271,0.170,0.209,0.193,100,9389
11/22/22 9:00,0,0.0,0.239,0.270,0.170,0.208,0.193,100,9402
11/22/22 10:00,0,0.0,0.238,0.270,0.170,0.208,0.193,100,9414
11/22/22 11:00,0,0.0,0.238,0.270,0.169,0.208,0.193,100,9419
11/22/22 12:00,0,0.0,0.238,0.270,0.169,0.208,0.193,100,9417
11/22/22 13:00,0,0.0,0.238,0.270,0.170,0.208,0.193,100,9421
11/22/22 14:00,0,0.0,0.238,0.270,0.170,0.208,0.193,100,9417
11/22/22 15:00,0,0.0,0.239,0.271,0.171,0.208,0.194,100,9413
11/22/22 16:00,0,0.0,0.239,0.272,0.171,0.209,0.194,100,9410
11/22/22 17:00,0,0.0,0.240,0.272,0.172,0.209,0.195,100,9406
11/22/22 18:00,0,0.0,0.240,0.273,0.173,0.210,0.195,100,9388
11/22/22 19:00,0,0.0,0.241,0.274,0.173,0.210,0.196,100,9377
11/22/22 20:00,0,0.0,0.241,0.274,0.173,0.211,0.196,100,9375
11/22/22 21:00,0,0.0,0.241,0.274,0.174,0.211,0.196,100,9374
11/22/22 22:00,0,0.0,0.241,0.274,0.173,0.211,0.196,100,9376
11/22/22 23:00,0,0.0,0.240,0.274,0.173,0.211,0.196,100,9376
11/23/22 0:00,0,0.0,0.240,0.273,0.173,0.211,0.196,100,9378
11/23/22 1:00,0,0.0,0.240,0.273,0.173,0.210,0.196,100,9375
